ProtID,P10,P13,P14,P24,P29,P3,P31,P36,P42,P43,P44,P46,P47,P49,P53,P11,P12,P15,P17,P18,P19,P2,P20,P21,P22,P23,P26,P30,P32,P34,P37,P4,P40,P45,P48,P5,P50,P51,P52,P6,P9
Q9GZR2,-1.58377969264984,NaN,-2.40870809555054,NaN,-1.21766996383667,-1.79113364219666,-1.76909756660461,-1.41286182403564,-0.946228504180908,-1.23142552375793,-1.69276094436646,-1.80518794059753,-1.47745144367218,-1.86074507236481,-1.27766919136047,-1.54095804691315,-0.936904013156891,-0.823412954807281,-1.2342494726181,0.0520063973963261,-0.941260099411011,-0.777294814586639,-0.256538927555084,-0.484583765268326,-1.59359240531921,-1.16869008541107,-1.16139626502991,-0.52285236120224,-0.406256645917892,-1.58182859420776,-1.218177318573,-1.35971689224243,-0.181985259056091,-1.30257046222687,-0.369466960430145,-0.428892076015472,-0.737404406070709,-0.735676288604736,-1.65948259830475,-0.189940825104713,-0.593231022357941
Q14684;Q14684-2,-1.14490675926209,-1.24486899375916,-1.66744267940521,-1.67137038707733,-0.263990938663483,-1.77344954013824,-1.64851176738739,-1.76913714408875,-0.607739984989166,-1.0377448797226,-1.95611250400543,-2.02727937698364,-1.46520483493805,-1.94711136817932,-1.30363583564758,-1.26572453975677,-0.789931535720825,-0.510412871837616,-0.407926201820374,-0.00208247313275933,-0.98045402765274,-0.446036964654922,-0.454233318567276,-0.354962408542633,-1.62797951698303,-1.45347249507904,-0.0718102157115936,0.0745633468031883,0.421464025974274,-2.03111052513123,-0.852204382419586,-1.61432039737701,0.19745346903801,-0.616434395313263,0.121650338172913,-0.401015251874924,-1.36460340023041,-0.808330953121185,-0.848024010658264,-0.182664960622787,-0.728974223136902
Q9NY61,-0.973356962203979,-0.847288608551025,-1.79928553104401,-1.74569392204285,-0.311321496963501,-1.04125595092773,-1.78276920318604,-1.53544116020203,-0.26774737238884,-1.27795350551605,-2.53247451782227,-1.91107881069183,-1.41943180561066,-1.37131702899933,-1.27066969871521,-0.810652315616608,-0.479226380586624,-0.472020745277405,-0.83967536687851,0.235013514757156,-0.389872938394547,-0.354616582393646,0.278418391942978,-0.459136247634888,-1.03288733959198,-1.00378084182739,-0.365337520837784,0.080881305038929,-0.0619623437523842,-1.96788644790649,-0.364005208015442,-1.3486111164093,-0.0528072342276573,-0.85271680355072,0.42617866396904,-0.128571271896362,-0.686107397079468,-0.763709902763367,-1.17855501174927,-0.107918262481689,-0.553730010986328
P37268;P37268-2;P37268-5;P37268-4;P37268-3,-2.82344198226929,-2.91141629219055,-3.3836350440979,-3.85120677947998,-4.07406330108643,-3.461092710495,-5.53371143341064,-3.43298172950745,-2.73987793922424,-3.55531001091003,-3.62962532043457,-4.02544450759888,-3.38294005393982,-4.77926778793335,-3.33323287963867,-3.69581770896912,-2.73061728477478,-2.11478161811829,-3.11510801315308,-1.17147815227509,-2.76913142204285,-1.86737823486328,-2.80516242980957,-2.80083441734314,-4.54149961471558,-2.48503708839417,-2.3940007686615,-1.95303928852081,-1.29335856437683,-3.41235446929932,-3.42648220062256,-2.39920592308044,-2.01587891578674,-2.86646556854248,-2.0934431552887,-2.65776109695435,-3.19387531280518,-2.90534019470215,-4.14040994644165,-1.53554177284241,-2.41623449325562
Q13895,-1.38570559024811,-1.22467529773712,-2.18365955352783,-2.08668565750122,-0.976696848869324,-1.23132991790771,-1.99944496154785,-1.89668929576874,-0.759795010089874,-1.698566198349,-1.96169233322144,-2.07600998878479,-1.71247327327728,-2.39003610610962,-1.54446017742157,-1.41185796260834,-1.02747285366058,-1.07537221908569,-1.14714527130127,-0.592241764068604,-1.21475732326508,-0.934566140174866,-0.522206425666809,-0.703379452228546,-1.76640212535858,-1.46212267875671,-0.965331673622131,-0.747659921646118,-0.555493950843811,-1.84831941127777,-1.3029351234436,-1.43939030170441,-0.643223643302917,-1.43470013141632,-0.356184065341949,-1.15580523014069,-1.49960553646088,-1.02472329139709,-1.3860410451889,-0.586920380592346,-1.03788578510284
Q6IN84,-0.310703307390213,-0.603958427906036,NaN,-1.2102335691452,-0.319575488567352,-0.846635103225708,-0.976222693920136,-0.924925982952118,-0.976023495197296,-0.33155882358551,-0.435730218887329,-0.228734880685806,0.977903962135315,-1.09181559085846,-0.692620396614075,-0.705845654010773,0.191070184111595,0.150499954819679,0.355242699384689,0.528243839740753,-0.332983136177063,0.0659688785672188,-0.0199093334376812,0.246428743004799,-0.419712245464325,-0.563449800014496,0.586600065231323,0.443884015083313,0.636885344982147,-0.0682976171374321,0.116790473461151,NaN,0.694006443023682,-0.712678551673889,0.581111788749695,-0.420112103223801,-0.197714045643806,0.875590860843658,1.82436084747314,0.490594983100891,0.36302050948143
Q9GZL7,-1.07692635059357,-0.825250506401062,-2.02395796775818,-1.65776658058167,-0.999230444431305,-1.36521756649017,-1.71544110774994,-1.7957763671875,-0.603321552276611,-1.11288356781006,-1.73000359535217,-1.93255054950714,-1.63866722583771,-1.90767395496368,-1.31340289115906,-1.32827353477478,-0.826976895332336,-1.20162212848663,-1.05600452423096,-0.367682456970215,-0.968976616859436,-0.723027348518372,-0.39058792591095,-0.626643717288971,-1.84592199325562,-1.1974925994873,-0.644685924053192,-0.313954561948776,-0.588107645511627,-1.58761298656464,-0.899719297885895,-1.28417932987213,-0.70588219165802,-1.31423711776733,-0.433221966028214,-0.652426064014435,-0.99587494134903,-0.878727912902832,-1.02262115478516,-0.508011698722839,-0.729697942733765
P46087;P46087-4;P46087-2;P46087-3,-0.694944739341736,-0.804950714111328,-2.01874256134033,-1.7990654706955,-0.640743672847748,-1.39309179782867,-1.73943364620209,-1.4876115322113,-0.379635512828827,-0.974558711051941,-1.70169115066528,-1.83379411697388,-1.58138334751129,-1.81930065155029,-1.22595453262329,-1.1839714050293,-0.746205866336823,-1.01534903049469,-0.890465319156647,0.017314376309514,-0.896881997585297,-0.360504359006882,-0.441533148288727,-0.603553771972656,-1.62134289741516,-0.871357619762421,-0.440907329320908,-0.12277989089489,-0.274720311164856,-1.67736804485321,-0.907456636428833,-1.28570735454559,-0.180053904652596,-0.79977023601532,-0.128190726041794,-0.360786467790604,-0.872828125953674,-0.614713132381439,-1.27462232112885,-0.251889765262604,-0.641513109207153
P01034,NaN,-0.269428491592407,-0.0595454573631287,1.03344941139221,0.151873126626015,0.73691338300705,0.0846352577209473,0.217675670981407,0.547385513782501,-0.281615883111954,1.12412071228027,0.770196378231049,0.277869403362274,1.03847193717957,0.521436452865601,0.365319490432739,-0.557582855224609,0.552252769470215,-0.907836735248566,-0.270908176898956,-0.471577048301697,0.493435770273209,-1.70814573764801,-0.386769652366638,0.88387531042099,-0.956302106380463,-2.00069665908813,-1.21169579029083,-1.34602808952332,0.250575602054596,-0.923166573047638,0.682156026363373,-1.43980705738068,-0.155144944787025,NaN,0.291058570146561,1.58136022090912,-1.89328324794769,-0.976498246192932,-0.398346096277237,-0.0101191662251949
Q92979,-1.12148427963257,-0.698086380958557,-1.94822180271149,-1.8902690410614,-0.546715974807739,-1.32501745223999,-1.85915207862854,-1.77878403663635,-0.067655049264431,-1.20091342926025,-1.72663843631744,-1.9235143661499,-1.63982057571411,-2.12836885452271,-1.58139932155609,-1.28109657764435,-0.391875147819519,-0.883435428142548,-0.854833543300629,-0.307323962450027,-0.791788280010223,-0.67571896314621,-0.281758785247803,-0.409906923770905,-1.49885320663452,-1.0747252702713,-0.553030073642731,-0.172425746917725,-0.238077387213707,-1.80822765827179,-0.680874168872833,-1.49843072891235,-0.197461128234863,-0.970248222351074,-0.0800167471170425,0.0265048332512379,-1.16870713233948,-0.609842121601105,-1.0235230922699,-0.172476574778557,-1.12799847126007
