Majority protein IDs,Intensity MDAMB231 Biol. repl. 1,Intensity MDAMB231 Biol. repl. 2,Intensity MDAMB231 Biol. repl. 3,Intensity MDAMB231 Biol. repl. 4,Intensity LM2 Biol. repl. 1,Intensity LM2 Biol. repl. 2,Intensity LM2 Biol. repl. 3,Intensity LM2 Biol. repl. 4,Intensity BT549 Biol. repl. 1,Intensity BT549 Biol. repl. 2,Intensity BT549 Biol. repl. 3,Intensity BT549 Biol. repl. 4,Intensity Hs578T Biol. repl. 1,Intensity Hs578T Biol. repl. 2,Intensity Hs578T Biol. repl. 3,Intensity Hs578T Biol. repl. 4,Intensity HCC1419 Biol. repl. 1,Intensity HCC1419 Biol. repl. 2,Intensity HCC1419 Biol. repl. 3,Intensity HCC1419 Biol. repl. 4,Intensity HCC1954 Biol. repl. 1,Intensity HCC1954 Biol. repl. 2,Intensity HCC1954 Biol. repl. 3,Intensity HCC1954 Biol. repl. 4,Intensity JIMT1 Biol. repl. 1,Intensity JIMT1 Biol. repl. 2,Intensity JIMT1 Biol. repl. 3,Intensity JIMT1 Biol. repl. 4,Intensity SKBR3 Biol. repl. 1,Intensity SKBR3 Biol. repl. 2,Intensity SKBR3 Biol. repl. 3,Intensity SKBR3 Biol. repl. 4,Intensity MCF7 Biol. repl. 1,Intensity MCF7 Biol. repl. 2,Intensity MCF7 Biol. repl. 3,Intensity MCF7 Biol. repl. 4,Intensity MCF10A Biol. repl. 1,Intensity MCF10A Biol. repl. 2,Intensity MCF10A Biol. repl. 3,Intensity MCF10A Biol. repl. 4,ANOVA Significant
,MDAMB231,MDAMB231,MDAMB231,MDAMB231,LM2,LM2,LM2,LM2,BT549,BT549,BT549,BT549,Hs578T,Hs578T,Hs578T,Hs578T,HCC1419,HCC1419,HCC1419,HCC1419,HCC1954,HCC1954,HCC1954,HCC1954,JIMT1,JIMT1,JIMT1,JIMT1,SKBR3,SKBR3,SKBR3,SKBR3,MCF7,MCF7,MCF7,MCF7,MCF10A,MCF10A,MCF10A,MCF10A,
,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,MCF7,MCF7,MCF7,MCF7,MCF10A,MCF10A,MCF10A,MCF10A,
A0AV96,-5.038834,-3.986352,-4.544165,-5.374271,-4.089777,-5.155844,-6.307967,-3.654774,-3.016685,-3.904894,-4.683977,-5.19779,-2.474565,-3.512304,-5.0901,-4.276767,-1.291065,-1.163082,-1.055529,-0.8042049,-4.196039,-1.29472,-2.985445,-2.122196,-3.7852,-5.704521,-4.388334,-4.077724,-5.250868,-4.538675,-4.523008,-4.178017,-5.271144,-4.471519,-4.402884,-4.713891,-5.23321,-5.840878,-6.311197,-4.427873,
A0AVT1,2.329178,2.722326,2.280277,1.940212,0.6400928,0.615551,-0.6046085,0.4359455,0.9261379,-0.1046219,0.6424637,0.6215115,-0.8284798,-1.822271,-0.8953991,-2.057442,2.423769,1.96909,2.196115,2.294188,1.637709,1.335121,1.569822,0.5569134,3.23106,3.041494,2.192513,3.290445,1.663603,0.7158165,0.8940811,1.179468,0.4625111,0.829813,-0.1581402,0.1162891,1.499414,1.431364,1.031818,1.096615,+
A0FGR8,-2.063631,-0.7070637,-0.003002167,-0.01368141,-3.620893,-2.803946,0.02921867,-0.5307579,-0.7842827,0.8184013,0.9112072,1.023252,-0.8819351,-1.271914,-1.460901,0.1158028,0.5954266,1.036135,1.138988,0.6308613,2.166004,1.517731,1.773615,1.785376,1.51943,0.9816456,1.496307,1.905012,0.9648685,-0.7881374,0.8925037,0.7641163,-1.670618,0.5445023,0.4838638,0.1013336,2.839022,2.652334,3.157084,3.267723,+
A0MZ66,-0.5915794,-0.507515,-0.1327839,-0.2207909,-3.592348,-3.675846,-3.038179,-4.115587,-4.688582,-2.993774,-2.284082,-5.066185,-3.526029,-5.43963,-3.941572,-4.528515,1.771318,2.388407,1.928585,2.04834,1.63167,1.575132,1.850277,2.066368,-2.04027,-2.71949,-6.43644,-2.724531,1.787001,1.356955,1.874619,1.412449,2.851437,2.156069,2.451405,2.260092,-4.075993,-0.05666924,-0.798048,-0.5224037,+
A1A4S6,-4.639192,-4.228792,-4.567204,-1.98974,-2.912888,-2.380011,-4.89719,-4.740962,-3.493009,-4.071539,-3.948904,-4.247681,-4.969479,-5.539767,-4.173846,-4.615944,-3.417564,-2.497143,-2.603142,-3.4097,-4.306818,-5.554629,-4.563295,-4.084889,-1.591816,-1.128691,-1.468107,-3.056978,-1.697695,-6.970569,-4.777721,-2.647593,-4.873592,-4.406514,-4.322394,-3.730762,-4.632474,-4.128419,-6.076505,-4.484611,
A1A5C7,-5.004583,-4.207586,-5.732499,-4.136099,-4.947325,-4.497924,-5.109229,-3.882881,-4.229362,-3.682237,-4.368837,-5.595761,-5.311721,-4.665482,-4.806373,-4.467759,0.607338,0.9542542,0.7105541,1.042019,-6.386881,-4.565796,-5.883715,-5.566574,-5.402764,-5.060952,-3.956467,-4.903333,-4.272996,-5.708039,-4.273546,-5.541093,-3.019147,-4.137958,-4.361825,-5.474944,-5.876393,-2.741478,-4.568888,-4.02474,
A1KXE4,-5.87329,-5.714087,-3.773454,-4.912891,-4.402356,-5.45928,-5.48965,-3.846807,-1.610899,-1.279631,-0.985405,-1.290024,-4.868961,-4.86952,-7.047336,-3.620809,-1.896713,-1.985666,-2.096916,-1.580128,-1.760147,-2.094803,-1.389919,-1.884529,-4.307729,-4.158008,-4.950852,-3.680617,-1.261242,-5.081281,-0.7966728,-1.213356,-4.270529,-3.869233,-3.120091,-4.295322,-3.951278,-5.318565,-3.837107,-6.263636,
A1L0T0,-0.7678623,-1.656033,-1.615116,-1.456362,-2.18857,-3.090194,-4.849263,-3.746705,0.6175594,0.8095646,0.08385849,1.489798,-4.636565,-5.061397,-4.828358,-6.120948,1.262074,1.368761,1.868906,-0.6621799,0.9463539,0.2507,0.398922,0.5476208,-0.7578449,-4.279892,-1.901695,-1.620255,-1.614975,-0.5432739,-0.6712227,-0.08281326,-3.147537,-0.8256569,0.4244461,-2.304306,-1.344032,0.4206924,-0.1825027,0.9577904,
