,Distance,Run,Missingness,Replicate,CCC,Rand,aRand
0,mesquita_eed,uniform_halflowestscalars,70,49,0.8129450167592339,1.0,1.0
1,mesquita_eed,uniform_halflowestscalars,70,48,0.8145048268682613,1.0,1.0
2,mesquita_eed,uniform_halflowestscalars,70,47,0.7997249235432181,1.0,1.0
3,mesquita_eed,uniform_halflowestscalars,70,46,0.729505795097051,0.98,0.9599960816486464
4,mesquita_eed,uniform_halflowestscalars,70,45,0.826093669852395,1.0,1.0
5,mesquita_eed,uniform_halflowestscalars,70,44,0.7566783429785784,0.9412121212121212,0.8824165642894751
6,mesquita_eed,uniform_halflowestscalars,70,43,0.7665035590463372,1.0,1.0
7,mesquita_eed,uniform_halflowestscalars,70,42,0.7848482542214674,0.98,0.9599960816486464
8,mesquita_eed,uniform_halflowestscalars,70,41,0.7516149040389878,0.9604040404040404,0.9208012930401136
9,mesquita_eed,uniform_halflowestscalars,70,40,0.7838339149527541,0.9604040404040404,0.9208012930401136
10,mesquita_eed,uniform_halflowestscalars,70,39,0.7598866953020551,0.98,0.9599960816486464
11,mesquita_eed,uniform_halflowestscalars,70,38,0.770571821345742,1.0,1.0
12,mesquita_eed,uniform_halflowestscalars,70,37,0.8004482179836963,0.98,0.9599960816486464
13,mesquita_eed,uniform_halflowestscalars,70,36,0.7629222138872482,0.9412121212121212,0.8824127248460211
14,mesquita_eed,uniform_halflowestscalars,70,35,0.7957896596338578,1.0,1.0
15,mesquita_eed,uniform_halflowestscalars,70,34,0.804187158734953,0.98,0.9599960816486464
16,mesquita_eed,uniform_halflowestscalars,70,33,0.7689179205122925,0.98,0.9599960816486464
17,mesquita_eed,uniform_halflowestscalars,70,32,0.8047432669840713,0.98,0.9599960816486464
18,mesquita_eed,uniform_halflowestscalars,70,31,0.8064975580269202,1.0,1.0
19,mesquita_eed,uniform_halflowestscalars,70,30,0.8009804894704904,0.98,0.9599960816486464
20,mesquita_eed,uniform_halflowestscalars,70,29,0.7990371108880612,1.0,1.0
21,mesquita_eed,uniform_halflowestscalars,70,28,0.744991716117489,0.4951515151515152,0.0
22,mesquita_eed,uniform_halflowestscalars,70,27,0.7098220271641431,0.9412121212121212,0.8824165642894751
23,mesquita_eed,uniform_halflowestscalars,70,26,0.7740331411378882,1.0,1.0
24,mesquita_eed,uniform_halflowestscalars,70,25,0.76613321033982,0.98,0.9599960816486464
25,mesquita_eed,uniform_halflowestscalars,70,24,0.7873703406232802,0.9604040404040404,0.9208012930401136
26,mesquita_eed,uniform_halflowestscalars,70,23,0.7132082013385281,0.9412121212121212,0.8824165642894751
27,mesquita_eed,uniform_halflowestscalars,70,22,0.7795193922234911,0.4951515151515152,0.0
28,mesquita_eed,uniform_halflowestscalars,70,21,0.8133534142860344,0.98,0.9599960816486464
29,mesquita_eed,uniform_halflowestscalars,70,20,0.7930317081988553,0.98,0.9599960816486464
30,mesquita_eed,uniform_halflowestscalars,70,19,0.7609658516156954,1.0,1.0
31,mesquita_eed,uniform_halflowestscalars,70,18,0.8104805010466397,0.9604040404040404,0.9208
32,mesquita_eed,uniform_halflowestscalars,70,17,0.8128582024279623,0.98,0.9599960816486464
33,mesquita_eed,uniform_halflowestscalars,70,16,0.7905773623156611,0.98,0.9599960816486464
34,mesquita_eed,uniform_halflowestscalars,70,15,0.8043553067332487,1.0,1.0
35,mesquita_eed,uniform_halflowestscalars,70,14,0.8154825319261214,0.98,0.9599960816486464
36,mesquita_eed,uniform_halflowestscalars,70,13,0.7619717138956681,1.0,1.0
37,mesquita_eed,uniform_halflowestscalars,70,12,0.7298725757009575,1.0,1.0
38,mesquita_eed,uniform_halflowestscalars,70,11,0.7466878496708678,0.9604040404040404,0.9208012930401136
39,mesquita_eed,uniform_halflowestscalars,70,10,0.7410465361954535,0.98,0.9599960816486464
40,mesquita_eed,uniform_halflowestscalars,70,9,0.8060588458569146,1.0,1.0
41,mesquita_eed,uniform_halflowestscalars,70,8,0.7884183323275634,0.98,0.9599960816486464
42,mesquita_eed,uniform_halflowestscalars,70,7,0.7833408060704108,0.98,0.9599960816486464
43,mesquita_eed,uniform_halflowestscalars,70,6,0.7516551738059403,0.49575757575757573,4.85601903559462e-05
44,mesquita_eed,uniform_halflowestscalars,70,5,0.7569092145356568,0.98,0.9599960816486464
45,mesquita_eed,uniform_halflowestscalars,70,4,0.8091658060659493,0.98,0.9599960816486464
46,mesquita_eed,uniform_halflowestscalars,70,3,0.7941233166672759,1.0,1.0
47,mesquita_eed,uniform_halflowestscalars,70,2,0.7932320609693525,0.98,0.9599960816486464
48,mesquita_eed,uniform_halflowestscalars,70,1,0.8009087366204726,1.0,1.0
49,mesquita_eed,uniform_halflowestscalars,70,0,0.7840654729446074,0.98,0.9599960816486464
50,mesquita_eed,uniform_halflowestscalars,65,49,0.8126754253626686,1.0,1.0
51,mesquita_eed,uniform_halflowestscalars,65,48,0.8324173694119262,1.0,1.0
52,mesquita_eed,uniform_halflowestscalars,65,47,0.8111579409302455,1.0,1.0
53,mesquita_eed,uniform_halflowestscalars,65,46,0.8120483731270541,1.0,1.0
54,mesquita_eed,uniform_halflowestscalars,65,45,0.7908597856524058,1.0,1.0
55,mesquita_eed,uniform_halflowestscalars,65,44,0.7818440923922875,0.98,0.9599960816486464
56,mesquita_eed,uniform_halflowestscalars,65,43,0.8307486824625777,1.0,1.0
57,mesquita_eed,uniform_halflowestscalars,65,42,0.8083140874743878,1.0,1.0
58,mesquita_eed,uniform_halflowestscalars,65,41,0.7982293059467025,1.0,1.0
59,mesquita_eed,uniform_halflowestscalars,65,40,0.7804099910157509,0.9604040404040404,0.9208
60,mesquita_eed,uniform_halflowestscalars,65,39,0.7651561993583537,1.0,1.0
61,mesquita_eed,uniform_halflowestscalars,65,38,0.8101641089079386,1.0,1.0
62,mesquita_eed,uniform_halflowestscalars,65,37,0.7349087625245208,0.98,0.9599960816486464
63,mesquita_eed,uniform_halflowestscalars,65,36,0.7519682084227222,0.9412121212121212,0.8824127248460211
64,mesquita_eed,uniform_halflowestscalars,65,35,0.8235579045288189,1.0,1.0
65,mesquita_eed,uniform_halflowestscalars,65,34,0.781508290151784,1.0,1.0
66,mesquita_eed,uniform_halflowestscalars,65,33,0.6599283455238929,0.9040404040404041,0.8080808080808081
67,mesquita_eed,uniform_halflowestscalars,65,32,0.7780470866476472,0.98,0.9599960816486464
68,mesquita_eed,uniform_halflowestscalars,65,31,0.8063549636758105,1.0,1.0
69,mesquita_eed,uniform_halflowestscalars,65,30,0.7749487199365076,1.0,1.0
70,mesquita_eed,uniform_halflowestscalars,65,29,0.7732690439433259,0.9604040404040404,0.9208012930401136
71,mesquita_eed,uniform_halflowestscalars,65,28,0.8197143660289095,0.98,0.9599960816486464
72,mesquita_eed,uniform_halflowestscalars,65,27,0.7579776227524253,0.98,0.9599960816486464
73,mesquita_eed,uniform_halflowestscalars,65,26,0.751847032615789,0.98,0.9599960816486464
74,mesquita_eed,uniform_halflowestscalars,65,25,0.8247751808127812,1.0,1.0
75,mesquita_eed,uniform_halflowestscalars,65,24,0.7889809180719399,0.98,0.9599960816486464
76,mesquita_eed,uniform_halflowestscalars,65,23,0.7889973638616846,0.98,0.9599960816486464
77,mesquita_eed,uniform_halflowestscalars,65,22,0.7791818725945774,0.9604040404040404,0.9208
78,mesquita_eed,uniform_halflowestscalars,65,21,0.7949629602562222,0.98,0.9599960816486464
79,mesquita_eed,uniform_halflowestscalars,65,20,0.7425864996264571,1.0,1.0
80,mesquita_eed,uniform_halflowestscalars,65,19,0.8098657296597748,1.0,1.0
81,mesquita_eed,uniform_halflowestscalars,65,18,0.8018246664562496,1.0,1.0
82,mesquita_eed,uniform_halflowestscalars,65,17,0.792423577757048,0.98,0.9599960816486464
83,mesquita_eed,uniform_halflowestscalars,65,16,0.7521694759888731,0.98,0.9599960816486464
84,mesquita_eed,uniform_halflowestscalars,65,15,0.7856655645571327,1.0,1.0
85,mesquita_eed,uniform_halflowestscalars,65,14,0.7548911157089115,0.98,0.9599960816486464
86,mesquita_eed,uniform_halflowestscalars,65,13,0.8284239790876166,1.0,1.0
87,mesquita_eed,uniform_halflowestscalars,65,12,0.7239147744101884,0.9604040404040404,0.9208012930401136
88,mesquita_eed,uniform_halflowestscalars,65,11,0.8214066852766464,1.0,1.0
89,mesquita_eed,uniform_halflowestscalars,65,10,0.8017101138788432,1.0,1.0
90,mesquita_eed,uniform_halflowestscalars,65,9,0.7936264050774195,0.98,0.9599960816486464
91,mesquita_eed,uniform_halflowestscalars,65,8,0.7646740489533235,0.98,0.9599960816486464
92,mesquita_eed,uniform_halflowestscalars,65,7,0.7979582856724183,0.98,0.9599960816486464
93,mesquita_eed,uniform_halflowestscalars,65,6,0.7375580720583954,0.98,0.9599960816486464
94,mesquita_eed,uniform_halflowestscalars,65,5,0.782703091818268,0.98,0.9599960816486464
95,mesquita_eed,uniform_halflowestscalars,65,4,0.7736144722939319,0.98,0.9599960816486464
96,mesquita_eed,uniform_halflowestscalars,65,3,0.8184642708808313,1.0,1.0
97,mesquita_eed,uniform_halflowestscalars,65,2,0.770746413328251,0.98,0.9599960816486464
98,mesquita_eed,uniform_halflowestscalars,65,1,0.8031939565898399,1.0,1.0
99,mesquita_eed,uniform_halflowestscalars,65,0,0.7476107838724182,0.4951515151515152,0.0
100,mesquita_eed,uniform_halflowestscalars,60,49,0.7944740281836338,1.0,1.0
101,mesquita_eed,uniform_halflowestscalars,60,48,0.833032842061593,1.0,1.0
102,mesquita_eed,uniform_halflowestscalars,60,47,0.7720281634168774,0.9412121212121212,0.8824127248460211
103,mesquita_eed,uniform_halflowestscalars,60,46,0.7815141516678981,0.98,0.9599960816486464
104,mesquita_eed,uniform_halflowestscalars,60,45,0.7805216112780813,0.9412121212121212,0.8824127248460211
105,mesquita_eed,uniform_halflowestscalars,60,44,0.7651895927162692,0.98,0.9599960816486464
106,mesquita_eed,uniform_halflowestscalars,60,43,0.7506936231208727,0.9604040404040404,0.9208012930401136
107,mesquita_eed,uniform_halflowestscalars,60,42,0.7976539238955282,0.98,0.9599960816486464
