Missingness,Replicate,n_components
0.1,0,2
0.1,1,2
0.1,2,2
0.1,3,2
0.1,4,2
0.1,5,2
0.1,6,2
0.1,7,2
0.1,8,2
0.1,9,2
0.1,10,2
0.1,11,2
0.1,12,2
0.1,13,2
0.1,14,2
0.1,15,2
0.1,16,2
0.1,17,2
0.1,18,2
0.1,19,2
0.1,20,2
0.1,21,2
0.1,22,2
0.1,23,2
0.1,24,2
0.1,25,2
0.1,26,2
0.1,27,2
0.1,28,2
0.1,29,2
0.1,30,2
0.1,31,2
0.1,32,2
0.1,33,2
0.1,34,2
0.1,35,2
0.1,36,2
0.1,37,2
0.1,38,2
0.1,39,2
0.1,40,2
0.1,41,2
0.1,42,2
0.1,43,2
0.1,44,2
0.1,45,2
0.1,46,2
0.1,47,2
0.1,48,2
0.1,49,2
0.15,0,2
0.15,1,2
0.15,2,2
0.15,3,2
0.15,4,2
0.15,5,2
0.15,6,2
0.15,7,2
0.15,8,2
0.15,9,2
0.15,10,2
0.15,11,2
0.15,12,2
0.15,13,2
0.15,14,2
0.15,15,2
0.15,16,2
0.15,17,2
0.15,18,2
0.15,19,2
0.15,20,2
0.15,21,2
0.15,22,2
0.15,23,2
0.15,24,2
0.15,25,2
0.15,26,2
0.15,27,2
0.15,28,2
0.15,29,2
0.15,30,2
0.15,31,2
0.15,32,2
0.15,33,2
0.15,34,2
0.15,35,2
0.15,36,2
0.15,37,2
0.15,38,2
0.15,39,2
0.15,40,2
0.15,41,2
0.15,42,2
0.15,43,2
0.15,44,2
0.15,45,2
0.15,46,2
0.15,47,2
0.15,48,2
0.15,49,2
0.2,0,2
0.2,1,2
0.2,2,2
0.2,3,2
0.2,4,2
0.2,5,2
0.2,6,2
0.2,7,2
0.2,8,2
0.2,9,2
0.2,10,2
0.2,11,2
0.2,12,2
0.2,13,2
0.2,14,2
0.2,15,2
0.2,16,2
0.2,17,2
0.2,18,2
0.2,19,2
0.2,20,2
0.2,21,2
0.2,22,2
0.2,23,2
0.2,24,2
0.2,25,2
0.2,26,2
0.2,27,2
0.2,28,2
0.2,29,2
0.2,30,2
0.2,31,2
0.2,32,2
0.2,33,2
0.2,34,2
0.2,35,2
0.2,36,2
0.2,37,2
0.2,38,2
0.2,39,2
0.2,40,2
0.2,41,2
0.2,42,2
0.2,43,2
0.2,44,2
0.2,45,2
0.2,46,2
0.2,47,2
0.2,48,2
0.2,49,2
0.25,0,2
0.25,1,2
0.25,2,2
0.25,3,2
0.25,4,2
0.25,5,2
0.25,6,2
0.25,7,2
0.25,8,2
0.25,9,2
0.25,10,2
0.25,11,2
0.25,12,2
0.25,13,2
0.25,14,2
0.25,15,2
0.25,16,2
0.25,17,2
0.25,18,2
0.25,19,2
0.25,20,2
0.25,21,2
0.25,22,2
0.25,23,2
0.25,24,2
0.25,25,2
0.25,26,2
0.25,27,2
0.25,28,2
0.25,29,2
0.25,30,2
0.25,31,2
0.25,32,2
0.25,33,2
0.25,34,2
0.25,35,2
0.25,36,2
0.25,37,2
0.25,38,2
0.25,39,2
0.25,40,2
0.25,41,2
0.25,42,2
0.25,43,2
0.25,44,2
0.25,45,2
0.25,46,2
0.25,47,2
0.25,48,2
0.25,49,2
0.3,0,2
0.3,1,2
0.3,2,2
0.3,3,2
0.3,4,2
0.3,5,2
0.3,6,2
0.3,7,2
0.3,8,2
0.3,9,2
0.3,10,2
0.3,11,2
0.3,12,2
0.3,13,2
0.3,14,2
0.3,15,2
0.3,16,2
0.3,17,2
0.3,18,2
0.3,19,2
0.3,20,2
0.3,21,2
0.3,22,2
0.3,23,2
0.3,24,2
0.3,25,2
0.3,26,2
0.3,27,2
0.3,28,2
0.3,29,2
0.3,30,2
0.3,31,2
0.3,32,2
0.3,33,2
0.3,34,2
0.3,35,2
0.3,36,2
0.3,37,2
0.3,38,2
0.3,39,2
0.3,40,2
0.3,41,2
0.3,42,2
0.3,43,2
0.3,44,2
0.3,45,2
0.3,46,2
0.3,47,2
0.3,48,2
0.3,49,2
0.35,0,1
0.35,1,1
0.35,2,2
0.35,3,1
0.35,4,1
0.35,5,1
0.35,6,1
0.35,7,1
0.35,8,2
0.35,9,1
0.35,10,1
0.35,11,2
0.35,12,1
0.35,13,1
0.35,14,1
0.35,15,1
0.35,16,2
0.35,17,2
0.35,18,1
0.35,19,1
0.35,20,1
0.35,21,2
0.35,22,1
0.35,23,1
0.35,24,1
0.35,25,2
0.35,26,1
0.35,27,2
0.35,28,1
0.35,29,1
0.35,30,1
0.35,31,2
0.35,32,1
0.35,33,1
0.35,34,1
0.35,35,1
0.35,36,1
0.35,37,1
0.35,38,1
0.35,39,1
0.35,40,1
0.35,41,1
0.35,42,1
0.35,43,1
0.35,44,1
0.35,45,1
0.35,46,1
0.35,47,1
0.35,48,1
0.35,49,2
0.4,0,1
0.4,1,1
0.4,2,1
0.4,3,1
0.4,4,1
0.4,5,1
0.4,6,1
0.4,7,1
0.4,8,1
0.4,9,1
0.4,10,1
0.4,11,1
0.4,12,1
0.4,13,1
0.4,14,1
0.4,15,1
0.4,16,1
0.4,17,1
0.4,18,1
0.4,19,1
0.4,20,1
0.4,21,1
0.4,22,1
0.4,23,1
0.4,24,1
0.4,25,1
0.4,26,1
0.4,27,1
0.4,28,1
0.4,29,1
0.4,30,1
0.4,31,1
0.4,32,1
0.4,33,1
0.4,34,1
0.4,35,1
0.4,36,1
0.4,37,1
0.4,38,1
0.4,39,1
0.4,40,1
0.4,41,1
0.4,42,1
0.4,43,1
0.4,44,1
0.4,45,1
0.4,46,1
0.4,47,1
0.4,48,1
0.4,49,1
0.45,0,1
0.45,1,1
0.45,2,1
0.45,3,1
0.45,4,1
0.45,5,1
0.45,6,1
0.45,7,1
0.45,8,1
0.45,9,1
0.45,10,1
0.45,11,1
0.45,12,1
0.45,13,1
0.45,14,1
0.45,15,1
0.45,16,1
0.45,17,1
0.45,18,1
0.45,19,1
0.45,20,1
0.45,21,1
0.45,22,1
0.45,23,1
0.45,24,1
0.45,25,1
0.45,26,1
0.45,27,1
0.45,28,1
0.45,29,1
0.45,30,1
0.45,31,1
0.45,32,1
0.45,33,1
0.45,34,1
0.45,35,1
0.45,36,1
0.45,37,1
0.45,38,1
0.45,39,1
0.45,40,1
0.45,41,1
0.45,42,1
0.45,43,1
0.45,44,1
0.45,45,1
0.45,46,1
0.45,47,1
0.45,48,1
0.45,49,1
0.5,0,1
0.5,1,1
0.5,2,1
0.5,3,1
0.5,4,1
0.5,5,1
0.5,6,1
0.5,7,1
0.5,8,1
0.5,9,1
0.5,10,1
0.5,11,1
0.5,12,1
0.5,13,1
0.5,14,1
0.5,15,1
0.5,16,1
0.5,17,1
0.5,18,1
0.5,19,1
